produced_in_US,runtime_ratio,director,supporting_actor_1,runtime,supporting_actor_2,season,revenue,num_production_companies,top_100_actor_count,writer_rank,num_production_countries,actors,decade,budget,actor_rank,has_top_25_writer,release_month,lead_actor,writer,has_top_25_director,in_english,release_year,has_top_25_company,director_rank,title,company_rank,genre_rank,genres
1,0.054282868525896415,Sean Anders,Amanda Crew,109.0,Clark Duke,Autumn,18755936,3,0,343,1,"['Josh Zuckerman', 'Amanda Crew', 'Clark Duke', 'James Marsden', 'Seth Green']",2000s,19000000,541.6,0,October,Josh Zuckerman,Sean Anders,0,1,2008,0,721,Sex Drive,176.66666666666666,4.0,"['Comedy', 'Adventure', 'Romance']"
1,0.05065195586760281,Chuck Russell,Cameron Diaz,101.0,Nancy Fish,Summer,351583407,2,0,65,1,"['Jim Carrey', 'Cameron Diaz', 'Nancy Fish', 'Tim Bagley', 'Johnny Williams']",1990s,23000000,604.6,0,July,Jim Carrey,Mike Werb,0,1,1994,0,120,The Mask,84.5,6.75,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
0,0.07784431137724551,Oliver Hirschbiegel,Alexandra Maria Lara,156.0,Corinna Harfouch,Autumn,92180910,7,0,389,3,"['Bruno Ganz', 'Alexandra Maria Lara', 'Corinna Harfouch', 'Ulrich Matthes', 'Juliane K√∂hler']",2000s,18339750,835.0,0,September,Bruno Ganz,Bernd Eichinger,0,0,2004,0,463,Downfall,226.57142857142858,9.666666666666666,"['Drama', 'History', 'War']"
1,0.049475262368815595,Dominic Sena,Hugh Jackman,99.0,Halle Berry,Summer,147080413,5,0,290,2,"['John Travolta', 'Hugh Jackman', 'Halle Berry', 'Don Cheadle', 'Sam Shepard']",2000s,102000000,272.8,0,June,John Travolta,Skip Woods,0,1,2001,0,172,Swordfish,147.4,4.333333333333333,"['Action', 'Crime', 'Thriller']"
0,0.07077856420626896,John Guillermin,Mia Farrow,140.0,Simon MacCorkindale,Autumn,14560084,2,0,980,1,"['Peter Ustinov', 'Mia Farrow', 'Simon MacCorkindale', 'Lois Chiles', 'Angela Lansbury']",1970s,7920000,835.0,0,October,Peter Ustinov,Anthony Shaffer,0,1,1978,0,468,Death on the Nile,261.0,12.0,['Mystery']
0,0.05247376311844078,Thomas Gilou,Jos√© Garcia,105.0,Gad Elmaleh,Winter,42700000,5,0,701,1,"['Richard Anconina', 'Jos√© Garcia', 'Gad Elmaleh', 'Aure Atika', 'Elisa Tovati']",2000s,12560000,835.0,0,February,Richard Anconina,Michel Munz,0,0,2001,0,565,Would I Lie to You? 2,237.2,3.0,['Comedy']
1,0.05964912280701754,Renny Harlin,Matthew Modine,119.0,Frank Langella,Winter,10017322,4,0,1073,4,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",1990s,98000000,619.2,0,December,Geena Davis,James Gorman,0,1,1995,0,461,Cutthroat Island,184.5,0.5,"['Action', 'Adventure']"
1,0.05189620758483034,Jay Chandrasekhar,Jay Chandrasekhar,104.0,Paul Soter,Winter,5001655,3,0,983,1,"['Kevin Heffernan', 'Jay Chandrasekhar', 'Paul Soter', 'Erik Stolhanske', 'Tanja Reichert']",2000s,8500000,835.0,0,February,Kevin Heffernan,Jay Chandrasekhar,0,1,2004,0,801,Club Dread,237.66666666666666,7.0,"['Comedy', 'Horror']"
1,0.04371584699453552,Jason Bateman,Kathryn Hahn,88.0,Rohan Chand,Autumn,7800000,2,0,1137,1,"['Jason Bateman', 'Kathryn Hahn', 'Rohan Chand', 'Philip Baker Hall', 'Allison Janney']",2010s,9500000,424.6,0,September,Jason Bateman,Andrew Dodge,0,1,2013,0,935,Bad Words,261.0,3.0,['Comedy']
1,0.060049627791563275,Baltasar Korm√°kur,Jake Gyllenhaal,121.0,Josh Brolin,Autumn,203427584,6,0,143,3,"['Jason Clarke', 'Jake Gyllenhaal', 'Josh Brolin', 'John Hawkes', 'Sam Worthington']",2010s,55000000,400.6,0,September,Jason Clarke,Simon Beaufoy,0,1,2015,0,109,Everest,141.83333333333334,1.5,"['Adventure', 'Drama']"
1,0.04550102249488753,Robert D. Webb,Debra Paget,89.0,Elvis Presley,Autumn,9000000,1,0,1105,1,"['Richard Egan', 'Debra Paget', 'Elvis Presley', 'Robert Middleton', 'William Campbell']",1950s,1000000,835.0,0,November,Richard Egan,Robert Buckner,0,1,1956,0,911,Love Me Tender,104.0,8.2,"['Drama', 'Action', 'Western', 'Music', 'Romance']"
1,0.04935194416749751,Barry Sonnenfeld,Cheryl Hines,99.0,Joanna 'JoJo' Levesque,Spring,87528173,6,0,281,3,"['Robin Williams', 'Cheryl Hines', ""Joanna 'JoJo' Levesque"", 'Josh Hutcherson', 'Jeff Daniels']",2000s,50000000,556.4,0,April,Robin Williams,Geoff Rodkey,0,1,2006,0,304,RV,189.33333333333334,3.0,['Comedy']
1,0.06743256743256744,Spike Lee,Philip Seymour Hoffman,135.0,Barry Pepper,Winter,13060843,2,0,308,1,"['Edward Norton', 'Philip Seymour Hoffman', 'Barry Pepper', 'Rosario Dawson', 'Anna Paquin']",2000s,15000000,506.2,0,December,Edward Norton,David Benioff,0,1,2002,0,834,25th Hour,204.0,5.5,"['Crime', 'Drama']"
1,0.0737419033383159,Sean Penn,Marcia Gay Harden,148.0,William Hurt,Autumn,56255142,4,0,566,1,"['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt', 'Jena Malone', 'Brian H. Dierker']",2000s,15000000,622.4,0,September,Emile Hirsch,Sean Penn,0,1,2007,0,446,Into the Wild,254.25,1.5,"['Adventure', 'Drama']"
1,0.04613841524573721,Kevin Smith,Jeff Anderson,92.0,Jason Mewes,Autumn,3151130,2,0,969,1,"[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes', 'Kevin Smith', 'Lisa Spoonhauer']",1990s,27000,835.0,0,September,Brian O'Halloran,Kevin Smith,0,1,1994,0,622,Clerks,224.5,3.0,['Comedy']
1,0.04636091724825524,Geoffrey Sax,Sarah Bolger,93.0,Ewan McGregor,Summer,23937870,3,0,823,3,"['Alex Pettyfer', 'Sarah Bolger', 'Ewan McGregor', 'Robbie Coltrane', 'Stephen Fry']",2000s,40000000,380.8,0,July,Alex Pettyfer,Anthony Horowitz,0,1,2006,0,591,Stormbreaker,259.0,2.3333333333333335,"['Adventure', 'Action', 'Family']"
1,0.04922923918448533,David Bowers,Devon Bostick,99.0,Rachael Harris,Spring,72417394,2,0,480,1,"['Zachary Gordon', 'Devon Bostick', 'Rachael Harris', 'Robert Capron', 'Steve Zahn']",2010s,21000000,621.6,0,March,Zachary Gordon,Gabe Sachs,0,1,2011,0,417,Diary of a Wimpy Kid: Rodrick Rules,194.5,4.5,"['Family', 'Comedy']"
1,0.05782652043868395,Adam McKay,John C. Reilly,116.0,Sacha Baron Cohen,Summer,162966177,2,0,200,1,"['Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen', 'Gary Cole', 'Michael Clarke Duncan']",2000s,72500000,497.2,0,August,Will Ferrell,Will Ferrell,0,1,2006,0,170,Talladega Nights: The Ballad of Ricky Bobby,100.0,3.0,['Comedy']
1,0.04723618090452261,Dwight H. Little,Basil Wallace,94.0,Keith David,Autumn,46044400,3,0,723,1,"['Steven Seagal', 'Basil Wallace', 'Keith David', 'Tom Wright', 'Joanna Pacula']",1990s,12000000,807.4,0,October,Steven Seagal,Michael Grais,0,1,1990,0,599,Marked for Death,208.66666666666666,2.0,"['Action', 'Thriller']"
1,0.04328358208955224,Tom Dey,Emma Stone,87.0,George Lopez,Summer,83761844,1,0,423,1,"['Owen Wilson', 'Emma Stone', 'George Lopez', 'Christopher Mintz-Plasse', 'Steve Coogan']",2010s,50000000,554.6,0,June,Owen Wilson,Tim Rasmussen,0,1,2010,0,322,Marmaduke,104.0,4.5,"['Family', 'Comedy']"
1,0.059559559559559556,Nora Ephron,Meg Ryan,119.0,Katie Sagona,Winter,250821495,1,0,182,1,"['Tom Hanks', 'Meg Ryan', 'Katie Sagona', 'Greg Kinnear', 'Parker Posey']",1990s,65000000,429.4,0,December,Tom Hanks,Nora Ephron,0,1,1998,0,110,You've Got Mail,94.0,5.5,"['Comedy', 'Romance']"
0,0.06570433051269288,Kodi Rama Krishna,Arjan Bajwa,132.0,Manorama,Winter,14000000,0,0,990,1,"['Sonu Sood', 'Arjan Bajwa', 'Manorama', 'Anushka Shetty', 'Sayaji Shinde']",2000s,2915739,835.0,0,January,Sonu Sood,Chintapalli Ramana,0,0,2009,0,808,Arundhati,261.0,7.333333333333333,"['Horror', 'Fantasy', 'Thriller']"
1,0.04904904904904905,Ivan Reitman,Anne Heche,98.0,David Schwimmer,Summer,164000000,4,0,195,1,"['Harrison Ford', 'Anne Heche', 'David Schwimmer', 'Jacqueline Obradors', 'Temuera Morrison']",1990s,70000000,705.4,0,June,Harrison Ford,Michael Browning,0,1,1998,0,178,Six Days Seven Nights,234.25,3.0,"['Action', 'Adventure', 'Comedy', 'Romance']"
1,0.059880239520958084,Michael Mann,Jamie Foxx,120.0,Jada Pinkett Smith,Summer,217764291,4,0,261,1,"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith', 'Mark Ruffalo', 'Peter Berg']",2000s,65000000,426.6,0,August,Tom Cruise,Stuart Beattie,0,1,2004,0,218,Collateral,165.25,5.0,"['Drama', 'Crime', 'Thriller']"
1,0.04721669980119284,Drew Goddard,Chris Hemsworth,95.0,Anna Hutchison,Spring,66486080,2,1,146,1,"['Kristen Connolly', 'Chris Hemsworth', 'Anna Hutchison', 'Fran Kranz', 'Jesse Williams']",2010s,30000000,835.0,1,April,Kristen Connolly,Joss Whedon,0,1,2012,0,399,The Cabin in the Woods,211.5,7.5,"['Horror', 'Thriller']"
1,0.05005005005005005,Richard LaGravenese,Danny DeVito,100.0,Queen Latifah,Autumn,12902790,2,0,781,1,"['Holly Hunter', 'Danny DeVito', 'Queen Latifah', 'Martin Donovan', 'Rachael Leigh Cook']",1990s,12000000,516.2,0,October,Holly Hunter,Richard LaGravenese,0,1,1998,0,831,Living Out Loud,123.5,4.333333333333333,"['Comedy', 'Drama', 'Romance']"
0,0.0647410358565737,C√©dric Klapisch,Romain Duris,130.0,Fabrice Luchini,Winter,23550000,7,0,931,1,"['Juliette Binoche', 'Romain Duris', 'Fabrice Luchini', 'Albert Dupontel', 'Fran√ßois Cluzet']",2000s,19000000,827.0,0,January,Juliette Binoche,C√©dric Klapisch,0,0,2008,0,752,Paris,248.14285714285714,2.0,['Drama']
1,0.05417495029821073,David Ayer,Michael Pe√±a,109.0,Natalie Martinez,Autumn,48126384,7,0,653,1,"['Jake Gyllenhaal', 'Michael Pe√±a', 'Natalie Martinez', 'Anna Kendrick', 'David Harbour']",2010s,7000000,502.6,0,September,Jake Gyllenhaal,David Ayer,0,1,2012,0,657,End of Watch,243.57142857142858,5.0,"['Crime', 'Drama', 'Thriller']"
1,0.04759519038076152,Stuart Gordon,Stephen Dorff,95.0,Debi Mazar,Spring,1614266,5,0,1393,3,"['Dennis Hopper', 'Stephen Dorff', 'Debi Mazar', 'George Wendt', 'Charles Dance']",1990s,25000000,729.0,0,March,Dennis Hopper,Stuart Gordon,0,1,1996,0,1150,Space Truckers,254.8,3.25,"['Comedy', 'Science Fiction', 'Thriller', 'Adventure']"
1,0.05803571428571429,M. Night Shyamalan,Anya Taylor-Joy,117.0,Betty Buckley,Autumn,276921998,3,0,110,1,"['James McAvoy', 'Anya Taylor-Joy', 'Betty Buckley', 'Haley Lu Richardson', 'Jessica Sula']",2010s,9000000,699.4,1,November,James McAvoy,M. Night Shyamalan,1,1,2016,0,78,Split,90.33333333333333,7.5,"['Horror', 'Thriller']"
1,0.05491762356465302,Reggie Rock Bythewood,Derek Luke,110.0,Orlando Jones,Winter,23510601,1,0,825,1,"['Laurence Fishburne', 'Derek Luke', 'Orlando Jones', 'Djimon Hounsou', 'Lisa Bonet']",2000s,24000000,587.6,0,January,Laurence Fishburne,Craig Fernandez,0,1,2003,0,661,Biker Boyz,261.0,1.0,"['Action', 'Drama']"
1,0.043630892678034106,Gary Goldman,Gino Conforti,87.0,Barbara Cook,Spring,11373501,2,0,1033,2,"['Jodi Benson', 'Gino Conforti', 'Barbara Cook', 'Gary Imhoff', 'Charo']",1990s,28000000,835.0,0,March,Jodi Benson,Don Bluth,0,1,1994,0,478,Thumbelina,177.5,6.25,"['Animation', 'Drama', 'Family', 'Fantasy']"
0,0.058676028084252756,Mike Newell,Andie MacDowell,117.0,James Fleet,Spring,254700832,3,0,114,1,"['Hugh Grant', 'Andie MacDowell', 'James Fleet', 'Simon Callow', 'John Hannah']",1990s,6000000,628.2,1,March,Hugh Grant,Richard Curtis,0,1,1994,0,169,Four Weddings and a Funeral,132.33333333333334,4.333333333333333,"['Comedy', 'Drama', 'Romance']"
1,0.04932735426008968,Scott Frank,Jeff Daniels,99.0,Matthew Goode,Spring,5367030,2,0,237,1,"['Joseph Gordon-Levitt', 'Jeff Daniels', 'Matthew Goode', 'Isla Fisher', 'Carla Gugino']",2000s,16000000,583.2,0,March,Joseph Gordon-Levitt,Scott Frank,0,1,2007,0,993,The Lookout,155.0,5.0,"['Crime', 'Drama', 'Thriller']"
1,0.06802383316782522,Angelina Jolie,Domhnall Gleeson,137.0,Garrett Hedlund,Winter,163442937,3,0,199,1,"[""Jack O'Connell"", 'Domhnall Gleeson', 'Garrett Hedlund', 'Miyavi', 'Finn Wittrock']",2010s,65000000,734.6,0,December,Jack O'Connell,William Nicholson,0,1,2014,1,143,Unbroken,157.66666666666666,7.5,"['Drama', 'War']"
1,0.06799007444168735,Francis Lawrence,Josh Hutcherson,137.0,Liam Hemsworth,Autumn,653428261,3,0,14,2,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']",2010s,160000000,508.6,0,November,Jennifer Lawrence,Danny Strong,1,1,2015,0,22,The Hunger Games: Mockingjay - Part 2,165.0,2.0,"['Action', 'Adventure', 'Science Fiction']"
1,0.05194805194805195,Tom Shadyac,Joe Morton,104.0,Ron Rifkin,Winter,52322400,6,0,696,2,"['Kevin Costner', 'Joe Morton', 'Ron Rifkin', 'Susanna Thompson', 'Kathy Bates']",2000s,60000000,588.6,0,February,Kevin Costner,David Seltzer,0,1,2002,0,236,Dragonfly,211.16666666666666,2.0,['Drama']
1,0.050424363454817774,Andrzej Bartkowiak,DMX,101.0,Kelly Hu,Winter,56489558,2,0,316,1,"['Jet Li', 'DMX', 'Kelly Hu', 'Anthony Anderson', 'Tom Arnold']",2000s,25000000,625.0,0,February,Jet Li,John O'Brien,0,1,2003,0,374,Cradle 2 the Grave,127.5,3.6666666666666665,"['Action', 'Crime', 'Drama']"
1,0.04470115519839277,Paul Mazursky,Bette Midler,89.0,Bill Irwin,Winter,9563393,2,0,1091,1,"['Woody Allen', 'Bette Midler', 'Bill Irwin', 'Paul Mazursky', 'Daren Firestone']",1990s,3000000,735.4,0,February,Woody Allen,Paul Mazursky,0,1,1991,0,898,Scenes from a Mall,151.5,3.0,['Comedy']
1,0.04824120603015075,Ron Underwood,Fred Ward,96.0,Finn Carter,Winter,48572000,2,0,614,1,"['Kevin Bacon', 'Fred Ward', 'Finn Carter', 'Michael Gross', 'Reba McEntire']",1990s,11000000,740.4,0,January,Kevin Bacon,S. S. Wilson,0,1,1990,0,626,Tremors,181.0,5.5,"['Action', 'Horror']"
1,0.04500775995861355,Wesley Ruggles,Cary Grant,87.0,Gregory Ratoff,Autumn,2850000,1,0,1303,1,"['Mae West', 'Cary Grant', 'Gregory Ratoff', 'Edward Arnold', 'Ralf Harolde']",1930s,225000,835.0,0,October,Mae West,Mae West,0,1,1933,0,1082,I'm No Angel,83.0,5.5,"['Comedy', 'Romance']"
1,0.08341658341658342,Martin Scorsese,Daniel Day-Lewis,167.0,Cameron Diaz,Winter,193772504,3,0,410,2,"['Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz', 'Liam Neeson', 'Brendan Gleeson']",2000s,100000000,389.0,0,December,Leonardo DiCaprio,Steven Zaillian,0,1,2002,0,479,Gangs of New York,171.33333333333334,8.333333333333334,"['Drama', 'History', 'Crime']"
1,0.05027376804380289,Spike Jonze,Catherine Keener,101.0,Lauren Ambrose,Autumn,100086793,5,0,362,1,"['Max Records', 'Catherine Keener', 'Lauren Ambrose', 'James Gandolfini', ""Catherine O'Hara""]",2000s,100000000,735.4,0,October,Max Records,Spike Jonze,0,1,2009,1,267,Where the Wild Things Are,105.4,6.5,"['Family', 'Fantasy']"
1,0.06398809523809523,Ben Affleck,Elle Fanning,129.0,Brendan Gleeson,Winter,22678555,3,0,404,1,"['Ben Affleck', 'Elle Fanning', 'Brendan Gleeson', 'Chris Messina', 'Sienna Miller']",2010s,108000000,609.2,0,December,Ben Affleck,Ben Affleck,0,1,2016,0,190,Live by Night,144.33333333333334,5.5,"['Crime', 'Drama']"
1,0.05189620758483034,Charles Stone III,Angela Bassett,104.0,Michael Rispoli,Summer,21800302,1,0,849,1,"['Bernie Mac', 'Angela Bassett', 'Michael Rispoli', 'Brian J. White', 'Dondre Whitfield']",2000s,30000000,635.8,0,June,Bernie Mac,Eric Champnella,0,1,2004,0,539,Mr. 3000,154.0,2.5,"['Comedy', 'Drama']"
1,0.048427358961557664,Mark Waters,Lindsay Lohan,97.0,Mark Harmon,Summer,110230332,3,0,384,1,"['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Harold Gould', 'Haley Hudson']",2000s,26000000,771.6,0,August,Jamie Lee Curtis,Heather Hach,0,1,2003,1,183,Freaky Friday,129.66666666666666,3.0,['Comedy']
1,0.047784967645594825,Atom Egoyan,Liam Neeson,96.0,Amanda Seyfried,Spring,8459458,3,0,1115,3,"['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot', 'R. H. Thomson']",2000s,15000000,492.8,0,March,Julianne Moore,Anne Fontaine,0,1,2009,0,917,Chloe,231.66666666666666,6.0,"['Drama', 'Thriller', 'Mystery']"
1,0.05404065443728309,Brian Fee,Cristela Alonzo,109.0,Chris Cooper,Summer,350170057,2,0,66,1,"['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Bonnie Hunt']",2010s,175000000,455.4,0,June,Owen Wilson,Robert L. Baird,0,1,2017,1,44,Cars 3,15.0,5.0,"['Family', 'Comedy', 'Animation', 'Adventure']"
1,0.07021912350597609,Clint Eastwood,Jeffrey Donovan,141.0,John Malkovich,Winter,113020255,3,0,319,1,"['Angelina Jolie', 'Jeffrey Donovan', 'John Malkovich', 'Geoff Pierson', 'Amy Ryan']",2000s,55000000,526.2,0,January,Angelina Jolie,J. Michael Straczynski,0,1,2008,0,355,Changeling,128.33333333333334,7.666666666666667,"['Crime', 'Drama', 'Mystery']"
0,0.0437375745526839,Peter Lord,Brendan Gleeson,88.0,Jeremy Piven,Spring,118338361,3,0,306,1,"['Hugh Grant', 'Brendan Gleeson', 'Jeremy Piven', 'Brian Blessed', 'Salma Hayek']",2010s,60000000,541.8,0,March,Hugh Grant,Robert Stevenhagen,0,1,2012,0,221,The Pirates! In an Adventure with Scientists!,132.0,5.0,"['Animation', 'Adventure', 'Family', 'Comedy']"
1,0.05414803775459513,Neill Blomkamp,Jodie Foster,109.0,Sharlto Copley,Summer,286140700,7,0,147,1,"['Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Alice Braga', 'Diego Luna']",2010s,115000000,725.2,1,August,Matt Damon,Neill Blomkamp,0,1,2013,0,113,Elysium,153.85714285714286,2.75,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
0,0.06281156530408774,Shusuke Kaneko,Kenichi Matsuyama,126.0,Sota Aoyama,Summer,27793200,1,0,775,1,"['Tatsuya Fujiwara', 'Kenichi Matsuyama', 'Sota Aoyama', 'Asaka Seto', 'Shigeki Hosokawa']",2000s,20000000,835.0,0,June,Tatsuya Fujiwara,Takeshi Obata,0,0,2006,0,627,Death Note,94.0,7.666666666666667,"['Fantasy', 'Mystery', 'Thriller']"
1,0.05692695214105793,Peter Weir,Kelly McGillis,113.0,Josef Sommer,Winter,68706993,1,0,499,1,"['Harrison Ford', 'Kelly McGillis', 'Josef Sommer', 'Lukas Haas', 'Jan Rubes']",1980s,12000000,705.4,0,February,Harrison Ford,William Kelley,0,1,1985,0,230,Witness,83.0,5.75,"['Crime', 'Drama', 'Romance', 'Thriller']"
1,0.05268389662027833,Tarsem Singh,Lily Collins,106.0,Armie Hammer,Spring,183018522,6,1,170,1,"['Julia Roberts', 'Lily Collins', 'Armie Hammer', 'Nathan Lane', 'Martin Klebba']",2010s,85000000,616.2,0,March,Julia Roberts,Jacob Grimm,0,1,2012,0,127,Mirror Mirror,238.5,4.0,"['Adventure', 'Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Family']"
1,0.07741935483870968,Alejandro González Iñárritu,Tom Hardy,156.0,Will Poulter,Winter,532950503,9,0,26,4,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson', 'Paul Anderson']",2010s,135000000,625.0,0,December,Leonardo DiCaprio,Alejandro González Iñárritu,0,1,2015,0,106,The Revenant,190.55555555555554,5.75,"['Western', 'Drama', 'Adventure', 'Thriller']"
1,0.05002501250625312,Brian Helgeland,Kris Kristofferson,100.0,Gregg Henry,Winter,161626121,2,0,374,1,"['Mel Gibson', 'Kris Kristofferson', 'Gregg Henry', 'Maria Bello', 'David Paymer']",1990s,90000000,449.8,0,February,Mel Gibson,Brian Helgeland,0,1,1999,0,276,Payback,82.0,3.75,"['Drama', 'Action', 'Thriller', 'Crime']"
1,0.04177151484650227,Robert Benton,Kim Basinger,83.0,Rip Torn,Summer,5669831,1,0,570,1,"['Jeff Bridges', 'Kim Basinger', 'Rip Torn', 'Gwen Verdon', 'Glenne Headly']",1980s,12000000,756.8,0,August,Jeff Bridges,Robert Benton,0,1,1987,0,449,Nadine,131.0,3.6666666666666665,"['Action', 'Comedy', 'Romance']"
1,0.04254254254254254,Betty Thomas,Ossie Davis,85.0,Oliver Platt,Summer,294456605,3,0,188,1,"['Eddie Murphy', 'Ossie Davis', 'Oliver Platt', 'Peter Boyle', 'Richard Schiff']",1990s,71000000,589.8,0,June,Eddie Murphy,Nat Mauldin,0,1,1998,0,58,Doctor Dolittle,159.66666666666666,5.333333333333333,"['Comedy', 'Family', 'Fantasy']"
1,0.05110220440881764,Hugh Wilson,Bette Midler,102.0,Diane Keaton,Autumn,116400000,1,0,310,1,"['Goldie Hawn', 'Bette Midler', 'Diane Keaton', 'Maggie Smith', 'Dan Hedaya']",1990s,26000000,393.8,0,September,Goldie Hawn,Robert Harling,0,1,1996,0,345,The First Wives Club,155.0,3.0,['Comedy']
0,0.05370462456489309,Olivier Megaton,Cliff Curtis,108.0,Callum Blue,Summer,60965854,6,0,494,1,"['Zoe Saldana', 'Cliff Curtis', 'Callum Blue', 'Michael Vartan', 'Lennie James']",2010s,40000000,597.0,0,July,Zoe Saldana,Luc Besson,0,1,2011,0,426,Colombiana,189.83333333333334,3.75,"['Action', 'Thriller', 'Crime', 'Drama']"
1,0.058208955223880594,Shana Feste,Garrett Hedlund,117.0,Tim McGraw,Winter,20529194,3,0,866,1,"['Gwyneth Paltrow', 'Garrett Hedlund', 'Tim McGraw', 'Leighton Meester', 'Marshall Chapman']",2010s,15000000,555.8,0,December,Gwyneth Paltrow,Shana Feste,0,1,2010,0,698,Country Strong,222.0,5.0,"['Drama', 'Romance']"
0,0.053838484546360914,George Miller,Robin Williams,108.0,Brittany Murphy,Autumn,384335608,2,0,72,1,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman']",2000s,100000000,274.8,0,November,Elijah Wood,George Miller,1,1,2006,0,67,Happy Feet,151.0,6.5,"['Animation', 'Comedy']"
0,0.06918865107018417,Teddy Chan,Wang Xue-qi,139.0,Tony Leung Ka-Fai,Winter,5837674,1,0,1202,1,"['Donnie Yen', 'Wang Xue-qi', 'Tony Leung Ka-Fai', 'Nicholas Tse', 'Hu Jun']",2000s,23000000,835.0,0,December,Donnie Yen,Chun Tin-Nam,0,0,2009,0,985,Bodyguards and Assassins,261.0,5.333333333333333,"['Drama', 'Action', 'History']"
0,0.06989515726410385,Hari,Trisha Krishnan,140.0,Vijayakumar,Spring,3000000,0,0,1182,1,"['Vikram', 'Trisha Krishnan', 'Vijayakumar', 'Delhi Ganesh', 'Kota Srinivasa Rao']",2000s,1000000,835.0,0,May,Vikram,Hari,0,0,2003,0,970,Saamy,261.0,1.0,"['Action', 'Drama']"
1,0.06156901688182721,Craig Gillespie,Bill Paxton,124.0,Lake Bell,Spring,38307627,1,0,887,1,"['Jon Hamm', 'Bill Paxton', 'Lake Bell', 'Suraj Sharma', 'Aasif Mandvi']",2010s,25000000,646.4,0,May,Jon Hamm,Tom McCarthy,0,1,2014,1,600,Million Dollar Arm,23.0,2.0,['Drama']
1,0.057128663686040734,Louis Leterrier,Mark Ruffalo,115.0,Woody Harrelson,Spring,117698894,4,0,441,2,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'M√©lanie Laurent', 'Isla Fisher']",2010s,75000000,520.6,0,May,Jesse Eisenberg,Ed Solomon,0,1,2013,0,393,Now You See Me,218.5,6.5,"['Thriller', 'Crime']"
1,0.05885286783042394,Danny Cannon,Alessandro Nivola,118.0,Anna Friel,Summer,27610873,3,0,777,2,"['Kuno Becker', 'Alessandro Nivola', 'Anna Friel', 'Stephen Dillane', 'Gary Lewis']",2000s,30000000,835.0,0,June,Kuno Becker,Dick Clement,0,1,2005,0,429,Goal!: The Dream Begins,225.33333333333334,2.0,['Drama']
1,0.06294416243654823,Martin Ritt,Samantha Eggar,124.0,Richard Harris,Winter,2200000,2,0,1230,1,"['Sean Connery', 'Samantha Eggar', 'Richard Harris', 'Frank Finlay', 'Anthony Zerbe']",1970s,11000000,609.8,0,January,Sean Connery,Walter Bernstein,0,1,1970,0,1031,The Molly Maguires,172.0,8.0,"['Drama', 'History']"
1,0.05758637956935403,Gary Fleder,Ashley Judd,115.0,Cary Elwes,Autumn,60527873,2,0,521,1,"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Alex McArthur', 'Tony Goldwyn']",1990s,27000000,517.2,0,October,Morgan Freeman,James Patterson,0,1,1997,0,338,Kiss the Girls,144.5,6.75,"['Drama', 'Mystery', 'Thriller', 'Crime']"
1,0.052135054617676264,Kenneth Branagh,Keira Knightley,105.0,Kevin Costner,Winter,50549107,6,0,600,2,"['Chris Pine', 'Keira Knightley', 'Kevin Costner', 'Kenneth Branagh', 'Lenn Kudrjawizki']",2010s,60000000,528.0,0,January,Chris Pine,Tom Clancy,0,1,2014,1,476,Jack Ryan: Shadow Recruit,123.33333333333333,2.0,"['Action', 'Drama', 'Thriller']"
1,0.04811507936507937,David Frankel,Edward Norton,97.0,Kate Winslet,Winter,87416021,6,0,400,1,"['Will Smith', 'Edward Norton', 'Kate Winslet', 'Michael Pe√±a', 'Helen Mirren']",2010s,36000000,398.0,0,December,Will Smith,Allan Loeb,0,1,2016,0,305,Collateral Beauty,132.83333333333334,5.0,"['Drama', 'Romance']"
0,0.04208416833667335,Terry Jones,Steve Coogan,84.0,Eric Idle,Autumn,1000000,1,0,1419,1,"['Terry Jones', 'Steve Coogan', 'Eric Idle', 'Nicol Williamson', 'John Cleese']",1990s,12000000,704.6,0,October,Terry Jones,Terry Jones,0,1,1996,0,876,The Wind in the Willows,245.0,3.8,"['Fantasy', 'Drama', 'Comedy', 'Family', 'Adventure']"
